,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_INTEVAL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
293,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/4 10:00,2020/5/10 23:00,0,0,0
294,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/4 12:00,2020/5/10 23:00,0,0,0
295,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/4 14:00,2020/5/10 23:00,0,0,0
296,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/4 16:00,2020/5/10 23:00,0,0,0
297,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/4 18:00,2020/5/10 23:00,0,0,0
304,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/5 08:00,2020/5/10 23:00,0,0,0
306,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/5 10:00,2020/5/10 23:00,1,1521,1
308,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/5 12:00,2020/5/10 23:00,1,1521,1
309,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/5 14:00,2020/5/10 23:00,0,0,0
310,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/5 16:00,2020/5/10 23:00,0,0,0
311,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/5 18:00,2020/5/10 23:00,0,0,0
327,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/6 08:00,2020/5/10 23:00,1,1521,1
328,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/6 10:00,2020/5/10 23:00,0,0,0
329,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/6 12:00,2020/5/10 23:00,0,0,0
330,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/6 14:00,2020/5/10 23:00,0,0,0
331,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/6 16:00,2020/5/10 23:00,0,0,0
332,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/6 18:00,2020/5/10 23:00,0,0,0
345,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/7 08:00,2020/5/10 23:00,6,1521,1
346,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/7 10:00,2020/5/10 23:00,0,0,0
347,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/7 12:00,2020/5/10 23:00,0,0,0
348,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/7 14:00,2020/5/10 23:00,0,0,0
349,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/7 16:00,2020/5/10 23:00,0,0,0
350,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/7 18:00,2020/5/10 23:00,0,0,0
357,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/8 08:00,2020/5/10 23:00,0,0,0
358,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/8 10:00,2020/5/10 23:00,0,0,0
359,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/8 12:00,2020/5/10 23:00,0,0,0
361,IC10-Q40-117 S,TSN,新港,NSH,南沙,2020/5/8 14:00,2020/5/10 23:00,2,1521,1
365,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/23 08:00,2019/12/30 23:00,0,0,0
366,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/23 10:00,2019/12/30 23:00,0,0,0
368,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/23 12:00,2019/12/30 23:00,7,2781,1
370,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/23 14:00,2019/12/30 23:00,4,2781,1
372,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/23 16:00,2019/12/30 23:00,1,2781,1
373,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/23 18:00,2019/12/30 23:00,0,0,0
388,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/24 08:00,2019/12/30 23:00,2,2781,1
389,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/24 10:00,2019/12/30 23:00,0,0,0
390,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/24 12:00,2019/12/30 23:00,0,0,0
391,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/24 14:00,2019/12/30 23:00,0,0,0
392,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/24 16:00,2019/12/30 23:00,0,0,0
393,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/24 18:00,2019/12/30 23:00,0,0,0
409,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/25 08:00,2019/12/30 23:00,1,2781,1
410,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/25 10:00,2019/12/30 23:00,0,0,0
411,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/25 12:00,2019/12/30 23:00,0,0,0
412,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/25 14:00,2019/12/30 23:00,0,0,0
413,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/25 16:00,2019/12/30 23:00,0,0,0
414,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/25 18:00,2019/12/30 23:00,0,0,0
428,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/26 08:00,2019/12/30 23:00,1,2781,1
