,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_AUD_DTDL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
4377,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/24 18:00,2019/12/26 21:00,0,0,0
4666,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/24 18:00,2020/1/2 20:00,0,0,0
4384,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/25 8:00,2019/12/26 21:00,0,0,0
4682,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/25 8:00,2020/1/2 20:00,2,3406,1
4386,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/25 10:00,2019/12/26 21:00,16,3406,1
4683,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/25 10:00,2020/1/2 20:00,0,0,0
4388,IC29-NLX-006 S,YIK,营口,QZH,钦州,2019/12/25 12:00,2019/12/26 21:00,21,3406,1
4684,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/25 12:00,2020/1/2 20:00,0,0,0
4685,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/25 14:00,2020/1/2 20:00,0,0,0
4686,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/25 16:00,2020/1/2 20:00,0,0,0
4687,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/25 18:00,2020/1/2 20:00,0,0,0
4703,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/26 8:00,2020/1/2 20:00,36,3406,1
4704,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/26 10:00,2020/1/2 20:00,0,0,0
4705,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/26 12:00,2020/1/2 20:00,0,0,0
4706,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/26 14:00,2020/1/2 20:00,0,0,0
4707,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/26 16:00,2020/1/2 20:00,0,0,0
4708,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/26 18:00,2020/1/2 20:00,0,0,0
4715,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/27 8:00,2020/1/2 20:00,0,0,0
4716,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/27 10:00,2020/1/2 20:00,0,0,0
4717,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/27 12:00,2020/1/2 20:00,0,0,0
4718,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/27 14:00,2020/1/2 20:00,0,0,0
4720,IC29-NLW-006 S,YIK,营口,QZH,钦州,2019/12/27 16:00,2020/1/2 20:00,20,3676,1
10103,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/2 8:00,2020/1/9 22:00,0,0,0
10105,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/2 10:00,2020/1/9 22:00,3,3106,1
10107,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/2 12:00,2020/1/9 22:00,1,3056,1
10108,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/2 14:00,2020/1/9 22:00,0,0,0
